connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
dabei,9,53,24,96,16,72,16,43
als,25,489,41,439,12,303,32,282
dennoch,21,30,28,36,20,20,4,7
wegen,1,39,2,18,1,17,3,54
aber,4,102,29,103,16,82,51,248
zusätzlich,11,18,4,7,3,6,0,5
da,14,121,7,54,4,56,22,52
wie,0,316,20,418,13,349,53,242
ebenfalls,0,80,2,41,0,38,2,19
infolgedessen,3,4,,,1,1,,
darüber hinaus,22,24,34,37,11,13,1,1
außerdem,10,25,11,15,7,15,,
doch,10,23,115,151,81,109,35,67
während,22,142,39,120,41,139,11,41
nachdem,10,16,9,14,3,9,10,14
allerdings,43,53,17,26,5,9,14,32
aufgrund,18,109,8,33,16,32,5,21
wenngleich,1,2,,,,,,
so,3,40,8,108,9,125,52,267
zudem,20,27,28,38,9,20,19,36
wenn,17,73,24,68,9,37,35,126
seit,4,47,4,15,5,30,13,57
ob,2,77,6,104,10,87,18,47
zuvor,0,13,0,11,0,8,2,11
dafür,0,39,3,71,1,51,7,35
somit,0,24,0,46,0,18,0,5
sondern,0,42,0,116,0,125,1,25
weil,1,10,0,7,0,2,11,48
seitdem,2,4,2,7,2,4,1,1
weder,0,3,0,1,0,5,0,5
warum,5,20,2,10,2,3,16,19
daher,11,37,11,57,3,23,6,13
darauf,0,144,0,85,0,119,2,26
dann,2,26,1,21,0,19,7,79
sonst,0,3,0,2,0,6,0,5
obwohl,63,79,26,34,26,28,7,19
beispielsweise,0,19,2,39,0,10,2,15
trotz,20,49,25,42,25,36,4,12
also,0,27,3,21,6,18,3,33
vielmehr,3,8,7,14,0,1,2,2
darum,0,12,1,36,0,9,3,19
trotzdem,13,18,5,9,10,10,5,12
zu dem beispiel,4,13,3,22,1,4,1,12
weiterhin,2,62,1,84,0,89,2,16
denn,3,8,19,36,7,21,20,41
später,2,22,0,9,0,6,3,25
dadurch,11,22,10,16,2,8,2,8
sodass,0,2,0,4,0,2,0,4
dagegen,0,7,1,3,0,1,0,13
anstatt,1,6,4,6,2,4,2,3
allein,1,5,1,9,1,3,2,8
hingegen,1,19,0,29,0,5,0,11
währenddessen,1,3,3,4,13,13,,
ohnehin,0,1,0,3,0,1,3,9
danach,2,8,0,1,,,4,16
zwar,0,14,0,24,0,8,11,38
woraufhin,0,1,,,,,,
zunächst,3,21,1,14,0,8,2,9
beziehungsweise,0,1,,,0,1,1,5
außer,0,1,1,4,0,11,,
andererseits,1,4,3,4,,,2,4
indem,0,10,18,29,7,18,0,2
weshalb,0,3,0,2,0,1,2,9
statt,1,10,6,13,3,29,2,18
daraufhin,3,11,0,3,0,3,0,3
bevor,0,13,2,16,0,13,3,10
unterdessen,1,1,1,2,5,5,1,1
sobald,2,3,0,1,1,3,3,4
falls,5,5,0,1,4,6,4,7
deshalb,1,5,3,6,1,1,16,36
nämlich,0,5,0,1,,,0,7
des weiteren,7,7,3,3,1,1,0,1
infolge,0,3,1,4,,,,
wenn auch,0,1,0,2,0,1,0,1
inzwischen,0,2,3,4,10,10,4,14
aus diesem grund,2,2,4,4,0,1,2,2
ansonsten,0,1,0,1,0,1,1,1
zugleich,0,1,0,7,0,2,0,3
auch wenn,,,3,12,4,5,5,12
andernfalls,,,1,1,,,,
inwiefern,,,0,1,0,1,,
soweit,,,0,2,0,3,0,3
inwieweit,,,1,1,,,,
sofern,,,0,2,,,0,2
entgegen,,,0,1,0,1,1,2
vorher,,,0,1,,,0,3
"nur , dass",,,,,0,1,0,1
seither,,,,,0,1,0,4
ausserdem,,,,,,,14,20
ausser,,,,,,,1,4
womit,,,,,,,1,1
soeben,,,,,,,0,1
worauf,,,,,,,0,2
gleichwohl,,,,,,,0,1
weswegen,,,,,,,0,1
insofern,,,,,,,1,2
allenfalls,,,,,,,1,3
zumal,,,,,,,2,4
folglich,,,,,,,1,1
deswegen,,,,,,,0,3
ebenso wenig,,,,,,,1,1
wonach,,,,,,,0,2
