file,TTR,Yules,MTLD
1,63.64,5875.11,142.97
10,66.41,8608.57,195.38
11,59.15,4775.31,146.39
12,64.11,5825.12,152.03
13,60.22,4968.07,132.22
14,65.63,5548.83,156.95
15,60.83,6119.6,205.4
16,57.14,2897.18,106.31
17,57.79,4102.56,106.31
18,61.65,4005.36,123.04
19,56.43,3776.73,122.1
2,63.09,7216.6,204.1
20,57.41,3486.94,115.44
21,63.53,5195.92,131.57
22,63.08,4587.02,160.43
23,63.23,6909.39,187.57
24,66.87,6680.9,174.89
25,62.84,5012.3,122.28
26,62.94,6372.36,139.45
27,62.79,5027.59,119.52
28,47.79,4034.65,149.27
29,67.92,6520.75,209.33
3,63.38,7076.61,161.69
30,61.06,5952.73,181.87
31,63.74,5940.5,171.85
32,63.9,8791.63,212.95
33,45.4,2915.65,166.24
34,66.24,5990.33,194.45
35,62.27,6161.6,185.52
36,57.56,4314.69,131.34
37,64.78,7049.39,121.41
38,57.25,5537.25,147.97
39,64.85,5762.36,110.55
4,62.67,7147.45,178.2
40,59.58,5706.7,133.16
41,57.97,5126.2,163.16
42,62.27,5827.73,171.9
43,57.3,5754.97,142.27
44,67.1,6951.12,149.17
45,63.07,5238.03,145.31
46,68.78,7612.52,189.42
47,65.58,6927.18,157.56
48,59.1,5788.27,127.69
49,61.54,6608.55,143.67
5,56.22,4540.09,141.48
50,58.62,5511.2,153.12
51,56.59,6031.99,166.45
52,56.59,4302.18,128.0
53,61.88,5371.72,111.75
54,67.27,8871.53,157.67
55,59.8,5049.48,154.39
56,60.67,3628.13,112.05
57,63.34,5262.44,121.93
58,66.1,7649.87,199.63
59,61.8,6380.1,152.45
6,53.9,4237.71,127.02
60,53.81,4107.11,192.59
61,56.53,3898.01,112.35
62,56.4,4529.1,146.14
63,66.27,6336.0,134.61
64,59.57,4288.84,142.0
65,50.61,5640.52,216.53
66,69.35,8068.05,192.63
67,60.53,5798.88,144.42
68,64.2,6259.6,118.37
69,63.62,7628.07,209.16
7,60.72,5017.15,131.15
70,51.63,1725.96,61.07
71,55.72,4280.15,114.34
72,58.6,4261.79,120.09
73,55.67,4825.32,128.89
74,68.75,7573.7,195.0
75,63.8,5744.22,151.67
76,49.63,3469.73,140.4
77,60.8,3561.96,113.07
78,41.55,2952.21,127.16
79,57.18,3908.09,123.94
8,71.08,9884.08,226.11
80,58.53,6189.84,115.87
81,57.91,3829.75,143.63
82,61.97,4844.0,123.42
83,59.66,4378.37,117.45
84,61.93,5714.61,182.1
85,64.21,5590.44,135.54
86,64.95,5537.11,176.43
87,57.39,3548.68,121.36
88,66.59,7156.9,135.8
89,61.49,4989.2,163.19
9,57.34,4011.64,85.52
90,59.44,5180.89,133.74
91,69.35,9487.02,233.9
92,61.54,3705.53,135.0
93,64.69,6268.21,135.78
94,70.24,9637.32,225.08
95,55.34,3184.4,120.31
96,61.53,4949.92,131.44
1,63.64,5875.11,142.97
10,66.41,8608.57,195.38
11,59.15,4775.31,146.39
12,64.11,5825.12,152.03
13,60.22,4968.07,132.22
14,65.63,5548.83,156.95
15,60.83,6119.6,205.4
16,57.14,2897.18,106.31
17,57.79,4102.56,106.31
18,61.65,4005.36,123.04
19,56.43,3776.73,122.1
2,63.09,7216.6,204.1
20,57.41,3486.94,115.44
21,63.53,5195.92,131.57
22,63.08,4587.02,160.43
23,63.23,6909.39,187.57
24,66.87,6680.9,174.89
25,62.84,5012.3,122.28
26,62.94,6372.36,139.45
27,62.79,5027.59,119.52
28,47.79,4034.65,149.27
29,67.92,6520.75,209.33
3,63.38,7076.61,161.69
30,61.06,5952.73,181.87
31,63.74,5940.5,171.85
32,63.9,8791.63,212.95
33,45.4,2915.65,166.24
34,66.24,5990.33,194.45
35,62.27,6161.6,185.52
36,57.56,4314.69,131.34
37,64.78,7049.39,121.41
38,57.25,5537.25,147.97
39,64.85,5762.36,110.55
4,62.67,7147.45,178.2
40,59.58,5706.7,133.16
41,57.97,5126.2,163.16
42,62.27,5827.73,171.9
43,57.3,5754.97,142.27
44,67.1,6951.12,149.17
45,63.07,5238.03,145.31
46,68.78,7612.52,189.42
47,65.58,6927.18,157.56
48,59.1,5788.27,127.69
49,61.54,6608.55,143.67
5,56.22,4540.09,141.48
50,58.62,5511.2,153.12
51,56.59,6031.99,166.45
52,56.59,4302.18,128.0
53,61.88,5371.72,111.75
54,67.27,8871.53,157.67
55,59.8,5049.48,154.39
56,60.67,3628.13,112.05
57,63.34,5262.44,121.93
58,66.1,7649.87,199.63
59,61.8,6380.1,152.45
6,53.9,4237.71,127.02
60,53.81,4107.11,192.59
61,56.53,3898.01,112.35
62,56.4,4529.1,146.14
63,66.27,6336.0,134.61
64,59.57,4288.84,142.0
65,50.61,5640.52,216.53
66,69.35,8068.05,192.63
67,60.53,5798.88,144.42
68,64.2,6259.6,118.37
69,63.62,7628.07,209.16
7,60.72,5017.15,131.15
70,51.63,1725.96,61.07
71,55.72,4280.15,114.34
72,58.6,4261.79,120.09
73,55.67,4825.32,128.89
74,68.75,7573.7,195.0
75,63.8,5744.22,151.67
76,49.63,3469.73,140.4
77,60.8,3561.96,113.07
78,41.55,2952.21,127.16
79,57.18,3908.09,123.94
8,71.08,9884.08,226.11
80,58.53,6189.84,115.87
81,57.91,3829.75,143.63
82,61.97,4844.0,123.42
83,59.66,4378.37,117.45
84,61.93,5714.61,182.1
85,64.21,5590.44,135.54
86,64.95,5537.11,176.43
87,57.39,3548.68,121.36
88,66.59,7156.9,135.8
89,61.49,4989.2,163.19
9,57.34,4011.64,85.52
90,59.44,5180.89,133.74
91,69.35,9487.02,233.9
92,61.54,3705.53,135.0
93,64.69,6268.21,135.78
94,70.24,9637.32,225.08
95,55.34,3184.4,120.31
96,61.53,4949.92,131.44
