,explain,human-full,create,human-cont,continue
dependency_distance_mean,3.3906598444106857,3.108771177408624,2.693950813824357,3.229285899860434,2.8919786096256686
dependency_distance_std,0.7867645615881658,1.1337588687502578,1.078541086046937,1.145744199554367,0.31250836346866606
prop_adjacent_dependency_relation_mean,0.44773044683513785,0.47367881693473485,0.42295933129111396,0.46495741050606476,0.42745098039215695
prop_adjacent_dependency_relation_std,0.07602693821761533,0.08394762178689001,0.12189939469451096,0.06923560006851362,0.05959551529440453
entropy,5.541049099178145,8.233288740998178,6.776709183678397,6.796052947868128,1.2360672848060656
perplexity,254.94532213796168,3764.1928734039084,877.1773397032189,894.3104262716298,3.4420502088777414
per_word_perplexity,0.6890414111836802,6.390819819021916,1.7938186905996296,1.8670363805253232,0.038245002320863794
token_length_mean,7.212698412698413,7.269076305220883,6.8959810874704495,7.0776942355889725,7.405063291139241
token_length_median,6.0,6.0,5.0,6.0,7.0
token_length_std,4.739817559394737,4.872252345875402,4.705367180384841,4.741591020983097,4.610167594476234
sentence_length_mean,18.529411764705884,17.785714285714285,13.64516129032258,19.0,15.8
sentence_length_median,17.0,15.5,13.0,16.0,15.0
sentence_length_std,6.669664839086289,9.751765931128075,6.503341012804429,10.244626930854093,2.315167380558045
syllables_per_token_mean,2.5714285714285716,2.6506024096385543,2.4160756501182035,2.56390977443609,2.7088607594936707
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.901664147690713,2.0006047375275027,1.7816842548204685,1.9182021532235016,1.870164811894945
n_tokens,315,498,423,399,79
n_unique_tokens,186,292,243,240,64
proportion_unique_tokens,0.5904761904761905,0.5863453815261044,0.574468085106383,0.6015037593984962,0.810126582278481
n_characters,2327,3723,2983,2904,596
n_sentences,17,28,31,21,5
first_order_coherence,0.6430606637150049,0.5633429592406308,0.4077152190109094,0.5520197324454784,0.6489487439393997
second_order_coherence,0.5718481520811717,0.5499986392947344,0.29413968588000744,0.521001124852582,0.6523301402727762
pos_prop_ADP,0.06756756756756757,0.0831918505942275,0.07566462167689161,0.07933194154488518,0.06666666666666667
pos_prop_DET,0.12972972972972974,0.1273344651952462,0.147239263803681,0.12734864300626306,0.15555555555555556
pos_prop_NOUN,0.20810810810810812,0.21392190152801357,0.23517382413087934,0.21085594989561587,0.2111111111111111
pos_prop_AUX,0.07837837837837838,0.06451612903225806,0.044989775051124746,0.06889352818371608,0.05555555555555555
pos_prop_ADJ,0.07567567567567568,0.08488964346349745,0.081799591002045,0.06680584551148225,0.12222222222222222
pos_prop_CCONJ,0.024324324324324326,0.022071307300509338,0.03067484662576687,0.018789144050104383,0.03333333333333333
pos_prop_VERB,0.10270270270270271,0.07640067911714771,0.08588957055214724,0.07933194154488518,0.07777777777777778
pos_prop_PUNCT,0.15405405405405406,0.14261460101867574,0.1329243353783231,0.1544885177453027,0.12222222222222222
pos_prop_ADV,0.06486486486486487,0.07470288624787776,0.05521472392638037,0.07306889352818371,0.08888888888888889
pos_prop_SCONJ,0.02702702702702703,0.011884550084889643,0.014314928425357873,0.012526096033402923,0.022222222222222223
pos_prop_PROPN,0.008108108108108109,0.04753820033955857,0.028629856850715747,0.05845511482254697,
pos_prop_PART,0.02702702702702703,0.013582342954159592,0.0081799591002045,0.014613778705636743,0.022222222222222223
pos_prop_PRON,0.021621621621621623,0.01867572156196944,0.02044989775051125,0.016701461377870562,0.022222222222222223
pos_prop_NUM,0.010810810810810811,0.013582342954159592,0.03067484662576687,0.012526096033402923,
flesch_reading_ease,-29.515210084033612,-35.458463855421684,-11.414838709677412,-29.356766917293186,-38.37162025316451
flesch_kincaid_grade,21.979327731092443,22.623537005163517,18.241305574620608,22.074135338345865,22.53655696202532
smog,17.987409321129135,18.473206523352868,16.107587411246,18.649436658719743,18.026119701940384
gunning_fog,22.014939309056956,23.33918531267929,20.58808815679097,23.138847117794487,23.53518987341772
automated_readability_index,21.806515406162468,21.700206540447503,17.872651567147102,21.405939849624062,21.347848101265825
coleman_liau_index,25.013206349206353,25.277911646586336,22.579101654846337,24.25894736842105,25.868354430379743
lix,62.97385620915033,63.76965002868617,56.198352779684285,63.611528822055135,67.69873417721519
rix,8.235294117647058,8.178571428571429,5.806451612903226,8.476190476190476,8.2
passed_quality_check,True,True,True,True,True
n_stop_words,157.0,223.0,180.0,180.0,36.0
alpha_ratio,0.8432432432432433,0.830220713073005,0.8323108384458078,0.8162839248434238,0.8777777777777778
mean_word_length,6.289189189189189,6.32088285229202,6.100204498977505,6.062630480167015,6.622222222222222
doc_length,370.0,589.0,489.0,479.0,90.0
top_ngram_chr_fraction_2,0.009087466868610375,0.007575757575757576,0.012941176470588235,0.009679370840895343,
oov_ratio,0.10540540540540541,0.12563667232597622,0.06952965235173825,0.11482254697286012,0.13333333333333333
connectives,14,15,12,13,2
pos_prop_X,,0.0050933786078098476,0.0081799591002045,0.006263048016701462,
duplicate_ngram_chr_fraction_5,,0.004261363636363636,0.01411764705882353,0.0054446460980036296,
top_ngram_chr_fraction_3,,0.008285984848484848,,0.01058681185722928,
top_ngram_chr_fraction_4,,0.005681818181818182,,0.007259528130671506,
